,aqi
aqi,1.0
pm25,0.9736719299291549
pm10,0.9448124351434206
surface_pressure,0.5236982271516137
wind_direction_10m,0.09214754399675819
precipitation,-0.1138057405612811
relative_humidity_2m,-0.1232323077758338
wind_speed_10m,-0.24732182793721272
wind_gusts_10m,-0.30264970082963627
cloud_cover,-0.346080277296138
temperature_2m,-0.4741192060300991
dew_point_2m,-0.5154257821756483
